m	méter	mi	noun_mi_er.tsv
km	kilométer	mi	noun_mi_er.tsv
cm	centiméter	mi	noun_mi_er.tsv
mm	miliméter	mi	noun_mi_er.tsv
l	liter	mi	noun_mi_er.tsv
ml	mililiter	mi	noun_mi_er.tsv
g	gram	mi	noun_mi_m.tsv
kg	kilogram	mi	noun_mi_m.tsv
mg	miligram	mi	noun_mi_m.tsv
W	wat	mi	noun_mi_t.tsv
kW	kilowat	mi	noun_mi_t.tsv
MW	megawat	mi	noun_mi_t.tsv
V	wolt	mi	noun_mi_t.tsv
kV	kilowolt	mi	noun_mi_t.tsv
MV	megawolt	mi	noun_mi_t.tsv
A	amper	mi	noun_mi_r.tsv
mA	miliamper	mi	noun_mi_r.tsv
s	sekùnda	f	noun_f_da.tsv
ms	milisekùnda	f	noun_f_da.tsv
min	minuta	f	noun_f_ta.tsv
gòdz	gòdzëna	f	noun_f_godzena.tsv
t	tona	f	noun_f_na.tsv
